"INJE1:Приёмистость воды, ст.м3/сут","INJE2:Приёмистость воды, ст.м3/сут","INJE3:Приёмистость воды, ст.м3/сут","INJE4:Приёмистость воды, ст.м3/сут","INJE1:WBP9, Бар","INJE2:WBP9, Бар","INJE3:WBP9, Бар","INJE4:WBP9, Бар","INJE1:Забойное давление, Бар","INJE2:Забойное давление, Бар","INJE3:Забойное давление, Бар","INJE4:Забойное давление, Бар"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,73.2196621760895,73.4351595827701,73.435563494781,73.4414585493551,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,73.1937593957067,73.4262808187282,73.427282794307,73.4382114075631,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,73.0568599099741,73.4148647047529,73.4210558511279,73.4347526806931,71.76091743144,72.1173330174944,72.1235353605244,72.13724616308
0.0,0.0,0.0,0.0,72.9876120595454,73.3925167877284,73.4128550642159,73.429189755559,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,72.867887141682,73.3782787201315,73.4014563608117,73.4233832367008,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,72.7915327811457,73.3560832470654,73.3891820346564,73.41591812834,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,72.7491365189574,73.3421473880843,73.3732218312127,73.4084195921372,71.4522515464446,72.0441795036752,72.075543705281,72.110825260086
0.0,0.0,0.0,0.0,72.6860331462121,73.33072461094,73.3510784652499,73.4004078726623,71.3890201242335,72.0326499565112,72.0532755653536,72.1027818925065
0.0,0.0,0.0,0.0,72.6471436603728,73.3161201911496,73.3305735621428,73.3894416514995,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,72.6345769900615,73.306497631682,73.3196452086817,73.3809860815133,71.3371999429355,72.0082117655328,72.0215659662914,72.0832157708051
0.0,0.0,0.0,0.0,72.6288124873797,73.3006860951968,73.3136250750576,73.3753687227508,71.3313899296955,72.0023323921481,72.0154764381247,72.0775322813839
0.0,0.0,0.0,0.0,72.6266496122889,73.297521685789,73.3104971130942,73.3720701836365,71.3292007984353,71.9991307218836,72.0123125064195,72.0741977835407
0.0,0.0,0.0,0.0,72.625772720866,73.2958740364772,73.3089116020608,73.3702942294436,71.3283128286065,71.9974616698068,72.0107071411331,72.0724000689078
383.851960262934,0.0,0.0,0.0,147.667208852618,72.8941331920117,73.2007932743655,73.3094714851161,290.0,0.0,0.0,0.0
541.838226095452,0.0,0.0,0.0,175.724155023462,72.9468192170191,73.6599894391071,73.3648206957334,290.0,0.0,0.0,0.0
662.372551938156,0.0,0.0,0.0,190.675046334116,72.7931800345675,74.4415298021873,73.6026846569627,290.0,0.0,0.0,0.0
731.952635322781,0.0,0.0,0.0,197.699391022663,72.613897445879,75.1697134166207,73.9205711586499,290.0,0.0,0.0,0.0
790.59216575137,0.0,0.0,0.0,202.864832764141,72.4207712605396,75.747933031087,74.1810999894521,290.0,0.0,0.0,0.0
845.938326725717,0.0,0.0,0.0,204.759686382322,72.2092032276753,76.1364062722982,74.2242185887501,290.0,0.0,0.0,0.0
885.582665164205,0.0,0.0,0.0,206.591000487701,72.0158431947474,76.4370030351831,74.169309777536,290.0,0.0,0.0,0.0
920.741572404399,0.0,0.0,0.0,207.538090275233,71.9480699813677,76.7139526010392,74.1406277351768,290.0,0.0,0.0,0.0
954.878331427871,0.0,0.0,0.0,207.584869874205,72.0661354025573,76.95476811377,74.1967455333472,290.0,0.0,0.0,0.0
982.680065139487,0.0,0.0,0.0,207.945901969633,72.2319904367937,77.2229798973811,74.2924360786166,290.0,0.0,0.0,0.0
1010.30683780802,0.0,0.0,0.0,208.313651876876,72.3876194952801,77.4727351926479,74.3964879288476,290.0,0.0,0.0,0.0
1039.43892004714,0.0,0.0,0.0,208.413217518458,72.5295462753544,77.702314177443,74.4968116765482,290.0,0.0,0.0,0.0
0.0,349.042057049052,0.0,0.0,77.6346779756704,149.46410265078,76.1884401771317,74.7065396554743,0.0,290.0,0.0,0.0
0.0,511.07517006689,0.0,0.0,71.2068669972329,179.379906427957,73.5318410350454,74.8486652580084,0.0,290.0,0.0,0.0
1133.52513983437,599.509458842121,0.0,0.0,213.572424498223,193.041257242208,74.4615789804182,75.4896374384527,300.0,290.0,0.0,0.0
1115.71285769655,657.45138449142,0.0,0.0,216.943907535229,200.532889070666,75.6863594447974,76.7066790451177,300.0,290.0,0.0,0.0
1136.54517196915,704.981193964952,0.0,0.0,217.212461443274,206.055690522223,75.7652988164526,77.683610048969,300.0,290.0,0.0,0.0
1159.66421533844,751.415790511216,0.0,0.0,217.110649980964,208.102280104506,74.9638092791648,78.2725255388852,300.0,290.0,0.0,0.0
1185.01463207852,785.901559260213,0.0,0.0,216.789665848236,209.989153349718,74.2117913791846,78.7217773269116,300.0,290.0,0.0,0.0
1211.3509983389,815.153756513106,0.0,0.0,216.29744588188,211.091566949364,74.2043222867767,79.0458573208406,300.0,290.0,0.0,0.0
1237.85891398138,842.159898861609,0.0,0.0,215.671773622085,211.482166163211,74.3470750465163,79.3505636470315,300.0,290.0,0.0,0.0
1261.77709119041,866.823697836855,0.0,0.0,215.188173574416,211.701484959271,74.5109193979436,79.6883947565637,300.0,290.0,0.0,0.0
1281.84831747167,889.997956397699,0.0,0.0,214.854624741822,212.128098769991,74.6627706196692,80.011394502801,300.0,290.0,0.0,0.0
1303.41429328757,914.700339313601,0.0,0.0,214.379992483773,212.287189707002,74.7988783383019,80.3036622500244,300.0,290.0,0.0,0.0
1398.77620360252,985.008914529201,0.0,0.0,219.133438756166,218.661485557468,71.5395792519442,79.3332850176084,310.0,300.0,0.0,0.0
1421.73274453099,1011.55911650072,0.0,0.0,218.475325003598,218.39373979618,70.9074447407081,77.3269686725193,310.0,300.0,0.0,0.0
1445.03308889832,1038.90266417774,0.0,0.0,217.797226920416,218.066179148085,70.7964341759428,76.5954419581027,310.0,300.0,0.0,0.0
1466.29786941924,1061.98580368978,0.0,0.0,217.165813202958,217.883889149028,70.7268235053861,75.8820777463954,310.0,300.0,0.0,0.0
1488.93072675535,1084.07847679502,0.0,0.0,216.419885126567,217.708952614812,70.7454579574663,75.3810121629481,310.0,300.0,0.0,0.0
1510.83171030162,1106.35994694484,0.0,0.0,215.65893433319,217.376997346879,70.7622862336491,75.2224480281333,310.0,300.0,0.0,0.0
1531.78847613399,1131.79675039227,0.0,0.0,214.93442152552,216.75892344072,70.8058347919198,75.0276726581749,310.0,300.0,0.0,0.0
1551.40909560846,1156.08689345831,0.0,0.0,214.257003343034,216.157598833967,70.8515525955487,74.4037521265684,310.0,300.0,0.0,0.0
1569.97874049102,1175.13469646899,0.0,0.0,213.590689754141,215.821685642286,70.9057943163404,74.4421166632154,310.0,300.0,0.0,0.0
1588.78241652494,1193.45329777807,0.0,0.0,212.893252166874,215.499078044965,70.9722620098084,74.5217170516379,310.0,300.0,0.0,0.0
1606.39185910842,1214.36689274947,0.0,0.0,212.22476705976,214.899035807742,71.035512167955,74.5955851427057,310.0,300.0,0.0,0.0
1624.43277852768,1235.96421680991,0.0,0.0,211.513049336376,214.223317557307,71.093558163695,74.6416738949299,310.0,300.0,0.0,0.0
1684.60263054301,1367.32046416935,0.0,481.870885585558,218.304225857807,226.138677946449,71.6665129555767,174.312391325832,320.0,320.0,0.0,330.0
1696.16344518553,1379.22627053634,0.0,645.313956055024,217.912973197832,226.064090028026,72.5861480105704,208.333749938779,320.0,320.0,0.0,330.0
1709.75563408969,1395.26945592264,0.0,769.313743844361,217.406521234934,225.722014440284,73.4241089619125,221.320596591785,320.0,320.0,0.0,330.0
1723.21783640275,1412.37666174889,0.0,840.847724599415,216.874429894356,225.228784384597,74.0037802882351,229.981824323696,320.0,320.0,0.0,330.0
1736.61980175339,1429.48828658872,0.0,914.710873285345,216.331430471286,224.703658888153,74.4422128774858,233.151588704055,320.0,320.0,0.0,330.0
1749.4226570242,1445.28826513669,0.0,965.170404081124,215.796365857511,224.205015669717,74.8145381643256,235.536559218839,320.0,320.0,0.0,330.0
1762.86545438516,1461.71500827438,0.0,1008.78602809006,215.212221804946,223.643596595161,75.1538250262116,236.833810959009,320.0,320.0,0.0,330.0
1779.26438677315,1479.24774217111,0.0,1051.34917660919,214.434032100893,222.972139626887,75.4393580836607,236.95822844574,320.0,320.0,0.0,330.0
1791.93829783762,1496.14551060936,0.0,1085.86460847345,213.857088353933,222.294185028007,75.7130203769132,237.369666612312,320.0,320.0,0.0,330.0
1804.57035748341,1513.92077206969,0.0,1124.03903941901,213.274646530745,221.543585676921,75.9735600397061,237.533617114653,320.0,320.0,0.0,330.0
1816.24542355619,1530.3816628081,0.0,1160.69971795084,212.730484715939,220.837592599889,76.1975826888415,237.447943701604,320.0,320.0,0.0,330.0
1828.14536521296,1546.1425779566,0.0,1198.53704801981,212.165792764754,220.163000840235,76.4319581227828,237.125556338386,320.0,320.0,0.0,330.0
2090.84705314947,1751.66919315944,0.0,1319.56486176915,226.990567231397,237.461045343599,77.7951983024597,250.647730197021,350.0,350.0,0.0,350.0
2098.08021590553,1761.26617468426,0.0,1347.91496521949,226.687075951225,237.157870121113,78.7984912193385,250.665632372991,350.0,350.0,0.0,350.0
2110.2461834793,1777.39545161662,0.0,1384.87028742655,226.092123607149,236.437154994306,79.2805790257083,250.073230688793,350.0,350.0,0.0,350.0
2122.48510901398,1793.52112021054,0.0,1423.29922412513,225.478426888914,235.682417553615,79.5737421252723,249.166378096988,350.0,350.0,0.0,350.0
2134.87273038694,1810.02662270411,0.0,1464.16558289498,224.849142970779,234.888513181146,79.8035067718973,248.02033112962,350.0,350.0,0.0,350.0
2146.61396226705,1825.14268202059,0.0,1496.0061888193,224.245049178624,234.152036280332,80.008024281518,247.320655059457,350.0,350.0,0.0,350.0
2158.85032055687,1840.42000897858,0.0,1531.40433041747,223.607265170933,233.39491380081,80.1556577505619,246.322023351154,350.0,350.0,0.0,350.0
2171.28701298132,1855.26169216473,0.0,1565.80746192489,222.950141778727,232.646540831303,80.2722413684475,245.285409518564,350.0,350.0,0.0,350.0
2182.91118058458,1869.64949871043,0.0,1597.15793920862,222.331599502832,231.903819426607,80.3914949259812,244.318697226953,350.0,350.0,0.0,350.0
2195.09663225656,1884.07208002618,0.0,1627.84312884449,221.676105086502,231.149769034706,80.5072497696097,243.348125058457,350.0,350.0,0.0,350.0
2206.1281051528,1897.57531922063,0.0,1659.12763956217,221.081455936074,230.436036223226,80.6197927930089,242.232391618844,350.0,350.0,0.0,350.0
2216.93653163284,1910.92187092697,0.0,1691.37614938639,220.496516229705,229.723331278783,80.7288674580266,241.009380610136,350.0,350.0,0.0,350.0
2241.66012966569,1932.03972652747,0.0,1739.5084839319,219.087568285109,228.507075965913,80.2307379979853,238.707224284454,350.0,350.0,0.0,350.0
2253.80303242012,1946.41194358943,0.0,1769.51515499107,218.412573933786,227.698598375979,79.8894182167384,237.460099472654,350.0,350.0,0.0,350.0
2264.79919521094,1959.27155140635,0.0,1798.34559215655,217.8058994006,226.987835146126,79.8102556746666,236.312969986105,350.0,350.0,0.0,350.0
2274.86843808151,1971.07371447944,0.0,1826.45433136148,217.249359005621,226.332219615521,79.8368961870569,235.143431655857,350.0,350.0,0.0,350.0
2284.79995420701,1983.42705926757,0.0,1855.16180614359,216.698443027527,225.635102906384,79.8815135540516,233.898380410853,350.0,350.0,0.0,350.0
2294.05628711559,1995.50303125669,0.0,1880.52487601375,216.183535317646,224.945778950052,79.9352005463255,232.804234727353,350.0,350.0,0.0,350.0
2303.93833636789,2007.84504810594,0.0,1905.98788273451,215.630746336385,224.236793208248,79.9872865860184,231.687360180694,350.0,350.0,0.0,350.0
2313.96120930374,2019.75307691685,0.0,1929.83404524687,215.067530394919,223.549626797645,80.035313801925,230.635463114077,350.0,350.0,0.0,350.0
2324.07597659305,2030.96721806493,0.0,1951.10809063544,214.496012336242,222.898447689211,80.06407808223,229.690670561487,350.0,350.0,0.0,350.0
2334.54232731559,2042.99201085031,0.0,1973.14849289422,213.902913702534,222.193177276244,80.086304872481,228.679910782656,350.0,350.0,0.0,350.0
2343.97309555674,2054.24212109239,0.0,1993.27563907685,213.368599811979,221.531225809798,80.1108840211737,227.750047960075,350.0,350.0,0.0,350.0
2352.90192357986,2064.87334440561,0.0,2012.75848402648,212.862555353791,220.904659724138,80.1500483650733,226.833658941271,350.0,350.0,0.0,350.0
2444.05068921533,2079.12528925975,510.040227898852,2028.39009685679,207.526220988902,220.047723379855,187.100885494682,226.136817670444,350.0,350.0,350.0,350.0
2447.38050388508,2088.75298634596,701.827457428826,2039.50267087402,207.350224699485,219.476696434257,224.918932709513,225.678753027612,350.0,350.0,350.0,350.0
2450.05150008198,2097.35664831453,827.419914374551,2051.48103140901,207.212132736482,218.969466683196,238.043169279142,225.159906885884,350.0,350.0,350.0,350.0
2454.19754843439,2105.53292441046,907.465130184575,2064.24518541619,206.984982310663,218.485187809789,246.44442639974,224.565575970322,350.0,350.0,350.0,350.0
2459.3742621182,2115.18597890494,987.727609687308,2077.55672330146,206.696221801108,217.906260875663,249.255431062081,223.92452799893,350.0,350.0,350.0,350.0
2464.62881511057,2124.08331104379,1045.18795761325,2090.32567327241,206.401280712939,217.372063623784,251.314661227605,223.29701655642,350.0,350.0,350.0,350.0
2470.37503344115,2132.84705817576,1098.95572867985,2103.31325442181,206.076766099759,216.845025116364,251.93000158603,222.646337955537,350.0,350.0,350.0,350.0
2476.11245517475,2141.51584889563,1148.02377535934,2116.03809819571,205.751744753923,216.322002397394,251.661198466536,221.99751216376,350.0,350.0,350.0,350.0
2481.61017655916,2149.56448508565,1192.51191092468,2128.40482534684,205.439595316333,215.835711922668,251.836083736712,221.355460927079,350.0,350.0,350.0,350.0
2487.38260427362,2157.55071428024,1240.42652724351,2140.8948528053,205.110865594026,215.352453772598,251.558453041759,220.698616670225,350.0,350.0,350.0,350.0
2492.83979154959,2165.02614535815,1285.65347231446,2152.5072918225,204.799642924532,214.89934158825,251.103960758511,220.082407114924,350.0,350.0,350.0,350.0
2498.14207783115,2172.55050362438,1332.25610830926,2163.85284017612,204.497242943847,214.442507636515,250.409698804861,219.476976987251,350.0,350.0,350.0,350.0
2503.54481209923,2179.82920227041,1375.60536262263,2175.58808068702,204.188292338669,213.99991101931,249.728663454797,218.839419009562,350.0,350.0,350.0,350.0
2508.45722102754,2186.28862484082,1412.10744072558,2186.24518732049,203.90689122108,213.606472425748,249.139651443186,218.253934843189,350.0,350.0,350.0,350.0
2513.72021760613,2193.48800589525,1456.05962780183,2197.66200504949,203.60520855794,213.166983691567,248.085402412433,217.623204926104,350.0,350.0,350.0,350.0
2518.68217652178,2200.52694327981,1500.80004169361,2208.13339331945,203.320491449974,212.736260982288,246.765164414653,217.041675053062,350.0,350.0,350.0,350.0
2523.81037923741,2207.75345909286,1541.19470636253,2218.59540147288,203.025868425178,212.293482311019,245.69142229295,216.457755703184,350.0,350.0,350.0,350.0
2528.98256007768,2214.59859418684,1576.35441380092,2228.2586577244,202.728042933402,211.87356474167,244.804125659608,215.916350204865,350.0,350.0,350.0,350.0
2534.4476153228,2221.6460065831,1616.08321854044,2238.30035059064,202.412936375638,211.440690212323,243.548890527617,215.34938695235,350.0,350.0,350.0,350.0
2539.71807755601,2228.64312310937,1653.38574024633,2248.54152868732,202.108961227204,211.010343103121,242.349367251387,214.766377396098,350.0,350.0,350.0,350.0
2544.57078918939,2235.32189735223,1686.79551036934,2258.19674395503,201.829089285339,210.599202134665,241.279754900113,214.214639847881,350.0,350.0,350.0,350.0
2549.37991813913,2242.01170935418,1720.55445193437,2267.52311942414,201.551707771928,210.187209684053,240.149869854111,213.681323260496,350.0,350.0,350.0,350.0
2554.06615345402,2248.34231180689,1753.05917124273,2276.17360134572,201.281112900313,209.797045722015,238.985822933177,213.185174004609,350.0,350.0,350.0,350.0
2558.91755900244,2254.76843069824,1786.71244421224,2284.97341043113,201.000729588498,209.400714372904,237.71872920554,212.678732306088,350.0,350.0,350.0,350.0
2563.8298650322,2261.16814147594,1818.13594815985,2293.7323199982,200.716584185264,209.005693578459,236.520986758265,212.172337484592,350.0,350.0,350.0,350.0
2568.20221876772,2266.75757143712,1845.5047035529,2301.48595694729,200.463514020482,208.660504780305,235.444835437491,211.722563025361,350.0,350.0,350.0,350.0
2573.02175855861,2272.82688164222,1875.72421615802,2310.04415942511,200.18443991805,208.285558705064,234.228187927868,211.225010959983,350.0,350.0,350.0,350.0
2577.67131269049,2278.60715122959,1904.21635606089,2318.10207264393,199.915097723101,207.928308712585,233.043795474544,210.75548792731,350.0,350.0,350.0,350.0
2582.36554755327,2284.42159161689,1932.57807732796,2326.18876983879,199.643091885733,207.568807904335,231.845072996034,210.283504005572,350.0,350.0,350.0,350.0
2586.92937221821,2290.00114064655,1959.22264130277,2334.19802302914,199.378453492933,207.223555498089,230.688766697667,209.814265286782,350.0,350.0,350.0,350.0
2591.56222710436,2295.71057242291,1984.97548396948,2342.47655489106,199.1097664028,206.87009267166,229.556579190755,209.3280446965,350.0,350.0,350.0,350.0
2596.08457802372,2301.27556621748,2009.65979601757,2350.43071823099,198.847458930262,206.525511784032,228.46725740125,208.860754668298,350.0,350.0,350.0,350.0
2600.35088276349,2306.50453047258,2031.80375164649,2357.80634111557,198.599969718443,206.201689780875,227.487037292309,208.427147758609,350.0,350.0,350.0,350.0
2604.59573560728,2311.67943697638,2052.77526980136,2365.00287552936,198.353677166171,205.881137003227,226.545628500096,208.003647764106,350.0,350.0,350.0,350.0
2608.62825423254,2316.62595420125,2072.91074965398,2371.81473331001,198.119686663658,205.574660906835,225.627388918129,207.602562834144,350.0,350.0,350.0,350.0
